barcode,title,subtitle,description,manufacturer_name,manufacturer_phone_adress,manufacturer_email,size_color,image,price,currency
0764460146455,Caosules cafe,,,Caprio/aden co,,tarek.yahiaoui@hotmail.com,,,,
0764460141689,Delice de Rawan,gâteau traditionnel oriental sec salé et sucré ,"sucre, farine, huile,",benchouk faiza,0549.13.76.93 6 rue Hassan Alyane Beb Eloued Alger,fben57904@gmail.com,transparente ,,,DZD
0764460006292,Fidelidad ,Shampoing fidelidad ,Shampoing 2en1 a base de l'huile d'amande douce ,Fidelidad,0658038431,wafaamoji@gmail.com,250 ml,,250 dinars,DZD
0745110618157,SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Deodorant Enfant ,Deodorant enfant bleu d’arôme douceur bebe ,Flora ,00213542990634,abounabil.hotel@gmail.com,150ml,,200 ,DZD
0764460074796,gel javel,,,Sarl Miral Clean,,sarlmiralclean@gmail.com,,,,DZD
0764460074789,eau de javel,,,Sarl Miral Clean,,sarlmiralclean@gmail.com,,,,DZD
0745178382212,EAU DE ROSE NATURE,500 ML,BOUETEILLES PET 500 ML ,NAIT,0771228763 fax : 034394260 BP45 TALA HAMZA BEJAIA,gvb.nait@gmail.com,,,50,DZD
0745178382205,EAU DE ROSE - ROSE,500 ML,EAU DE ROSE - ROSE ALIMENTAIRE je voudrais tester une recette de gateau à la rose seulement jai un pb avec l'ingrédient prinicipal. souhaitent utiliser des cookies .galettes à l'eau de rose .biscuits à l'eau de rose.,NAIT,0771228763 fax : 034394260 BP45 TALA HAMZA BEJAIA,gvb.nait@gmail.com,,,50,DZD
0745240236993,les Petits Fours بيتي فور,ADWAK KOM,Gâteaux sec petit four ,E.U.R.L ADWAK KOM أذواق كوم,"93, boulevard pasteur belle vue Constantine Algérie Tel:0770356542",www.adwak.kom@gmail.com,,,,
0745240559191,Coton disque demaquillant 100% coton,,"Disuqe de coton demaquillant 100% coton ,non pelucheux,respectueux de votre peau ",Coty belle,0559407292,Boudrar.faycal.mhd@gmail.com,,,,DZD
0745240421689,Cacao n°7,,"Cacao brun , 100% naturel ",Excellence food industry ,0674941254,excellence.foodindustry@gmail.com,,,,DZD
0745240559184,chakhchoukha,,,el amir,0666010432,elamir.pate@yahoo.com,orange,,,
0745240555032, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Gel douche,Gel douche de couleur jaune,Lox ,00213542990634,abounabil.hotel@gmail.com,500ml ,,400,DZD
0745240555025, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Gel douche,Gel Douche couleur rouge ,Lox ,+213 5 42990634,abounabil.hotel@gmail.com,500ml,,400,DZD
0745240555018, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Gel douche ,Gel douche couleur Mauve ,Lox , 00213 5 42990634,abounabil.hotel@gmail.com,500ml ,,400,DZD
0745240555001, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Gel douche ,Gel douche couleur rose d’arôme rose,Lox ,+213 5 42990634,abounabil.hotel@gmail.com,500ml ,,400,DZD
0745240554998, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Gel douche ,Gel douche blanche d’arôme jasmin,Lox,+213 5 42990634,abounabil.hotel@gmail.com,500ml,,400,DZD
0745240554974, SARL LA ROSE BLANCHE COSMETIQUE ET HYGIENNE,Déodorant Enfant ,Déodorant Enfant Jaune D’arôme Baby Water,Flora,+213 5 42990634,abounabil.hotel@gmail.com,150ml ,,200,DZD
